houseid,ntrip,hhsize,num0to4,num5to21,numadult,numwork,numdrive,income,numcars
18925,4,2,0,0,2,1,2,37500,2
18934,5,2,0,0,2,1,2,37500,3
18935,6,3,0,1,2,2,2,32500,2
18968,22,4,0,0,4,1,3,100000,5
18996,2,1,0,0,1,0,0,2500,0
19004,0,1,0,0,1,0,1,27500,1
19023,9,2,0,0,2,2,2,100000,2
19027,0,1,0,0,1,1,1,27500,1
19029,6,2,0,1,1,1,1,32500,1
19030,2,2,0,0,2,1,2,7500,1
19056,2,2,0,0,2,1,1,17500,2
19080,2,2,0,0,2,0,2,36153,2
19082,4,2,0,0,2,1,1,36153,1
19087,14,3,0,1,2,2,3,47500,3
19095,3,3,0,0,3,3,2,36153,3
19112,0,2,0,0,2,0,1,42500,1
19122,2,1,0,0,1,0,1,7500,1
19123,9,3,0,0,3,0,3,36153,2
19147,12,3,1,0,2,2,2,37500,2
19148,12,3,1,0,2,2,2,37500,2
19172,13,3,0,1,2,1,2,67500,2
19184,2,1,0,0,1,0,1,12500,0
19197,4,2,0,0,2,1,2,36153,1
19211,9,2,0,0,2,2,2,12500,5
19222,11,6,1,1,4,2,2,39593,3
19231,2,4,2,0,2,1,2,17500,1
19234,20,6,1,2,3,3,2,39593,2
19246,2,2,0,0,2,2,2,39593,3
19247,3,2,0,0,2,2,2,32500,2
19248,20,5,2,1,2,2,2,32500,2
19255,2,1,0,0,1,1,1,22500,1
19258,13,2,0,0,2,2,2,57500,2
19310,10,2,0,0,2,2,2,62500,3
19319,13,3,0,1,2,0,2,7500,2
19322,4,4,0,2,2,1,1,67500,2
19324,53,6,2,2,2,2,2,27500,2
19326,10,4,1,1,2,1,2,39593,2
19335,2,1,0,0,1,0,1,7500,1
19345,0,1,0,0,1,0,1,17500,4
19373,14,5,1,3,1,1,1,7500,1
19379,3,3,0,1,2,1,2,42500,4
19382,0,1,0,0,1,0,1,27500,3
19389,0,1,0,0,1,0,1,32100,1
19391,8,2,0,0,2,2,2,67500,4
19405,6,1,0,0,1,0,1,2500,1
19413,2,1,0,0,1,1,1,7500,1
19445,2,2,0,0,2,1,1,67500,1
19456,9,4,0,0,4,0,2,39593,3
19465,14,4,0,0,4,3,3,32500,3
19470,7,2,0,0,2,1,1,22500,2
19474,8,3,0,1,2,2,3,100000,1
19495,9,2,0,0,2,2,2,17500,2
19501,16,4,0,2,2,2,3,100000,4
19506,8,1,0,0,1,1,1,35571,1
19552,13,3,0,1,2,2,2,42500,3
19553,14,4,0,2,2,2,2,22500,3
19559,4,1,0,0,1,0,1,22500,1
19561,4,1,0,0,1,1,1,27500,2
19562,4,2,0,0,2,2,2,22500,1
19578,8,3,1,0,2,1,2,100000,2
19581,8,3,0,0,3,0,2,100000,2
19595,13,3,0,0,3,3,3,36153,3
19611,8,4,0,1,3,2,2,17500,2
19613,4,1,0,0,1,1,1,7500,1
19615,12,2,0,0,2,0,2,36153,1
19626,10,2,0,0,2,0,2,36153,2
19650,13,3,0,2,1,2,3,67500,2
19652,2,2,0,0,2,2,2,22500,2
19664,7,5,0,2,3,3,3,17500,2
19669,4,1,0,0,1,0,1,12500,1
19694,17,5,0,3,2,4,4,36153,3
19743,7,1,0,0,1,1,1,17500,1
19785,0,1,0,0,1,0,1,7500,1
