ntrips,hhsize,nchlt12,nchgt12,nworker,nstudent,ncar,income,resloc
7,2,0,0,0,0,0,31000,2
33,2,0,0,2,0,1,31000,2
87,4,0,2,1,2,1,31000,2
54,3,0,1,1,1,1,31000,2
34,4,0,2,1,2,1,43000,2
42,2,0,1,1,0,1,43000,2
93,5,0,3,2,1,3,43000,2
29,2,0,0,1,0,1,20500,2
68,5,3,0,1,0,1,31000,2
23,2,0,0,0,0,1,20500,2
82,4,1,1,1,1,2,31000,2
35,2,0,0,1,0,1,31000,2
9,2,0,0,0,0,0,31000,2
41,3,1,1,1,1,1,31000,2
14,1,0,0,0,0,1,20500,2
98,3,0,1,2,0,0,20500,2
23,1,0,0,1,0,0,31000,2
93,4,0,2,1,2,1,31000,2
19,2,0,1,0,0,0,31000,2
63,4,0,2,1,2,1,20500,2
56,4,2,0,1,0,1,31000,2
74,3,0,1,1,0,2,43000,2
35,2,0,1,1,1,1,12000,2
93,4,1,1,2,1,1,43000,2
102,4,0,2,1,2,1,43000,2
26,2,0,0,0,0,1,43000,2
10,1,0,0,0,0,0,12000,2
99,3,0,1,1,1,1,31000,2
59,3,0,1,2,0,1,43000,2
29,2,0,0,0,0,1,43000,2
22,2,0,0,0,0,1,31000,2
26,1,0,0,0,0,1,12000,2
23,2,0,0,0,0,1,31000,2
42,4,2,0,2,0,1,31000,2
34,4,2,0,2,0,1,43000,2
47,3,1,0,1,0,1,43000,2
136,7,2,3,1,3,1,31000,2
16,2,0,0,0,0,1,31000,2
36,4,2,0,1,0,1,31000,2
35,2,0,0,0,0,1,12000,2
26,2,0,0,0,0,1,31000,2
18,3,1,0,2,0,0,31000,2
49,3,0,1,2,0,0,31000,2
63,7,2,3,2,2,0,31000,2
72,4,0,2,1,2,1,31000,2
30,2,0,0,2,0,2,43000,2
90,4,0,2,0,2,1,43000,2
75,3,0,1,1,1,1,31000,2
8,1,0,0,0,0,0,31000,2
41,2,0,0,1,0,1,20500,2
54,4,2,0,1,0,1,31000,2
13,4,2,0,2,0,3,43000,2
36,2,0,0,1,0,1,43000,2
